number,avg_air_pressure,avg_air_temp,avg_wind_speed,max_wind_speed,rain_accumulation,rain_duration,relative_humidity
0,917.06,74.822,2.0803542,2.8632832,0.0,0.0,42.42
1,918.3476881,71.40384263,2.443009216,3.533323602,0.0,0.0,24.32869729
2,923.04,60.638,17.0678522,22.1009672,0.0,20.0,8.9
3,920.5027512,70.13889487,4.337363056,5.19004536,0.0,0.0,12.18910187
4,921.16,44.294,1.8566602,2.8632832,8.9,14730.0,92.41
5,915.3,78.404,9.9320136,10.9833754,0.02,170.0,35.13
6,915.5988675,70.04330432,3.745586538,4.589632429,0.0,0.0,10.65742166
7,918.07,51.71,2.5277422,3.6462122,0.0,0.0,80.47
8,920.08,80.582,4.5186188,5.8831522,0.0,0.0,29.58
9,915.01,47.498,4.9436374,6.5766036,0.0,0.0,88.6
10,919.65,77.036,3.8251674,4.7646822,0.0,0.0,22.07
11,915.64,45.716,5.8607828,8.0306146,0.55,1776.0,90.56
12,917.39,49.784,1.2750558,2.013246,0.0,0.0,73.15
13,920.82,62.438,2.6172198,3.3106712,0.0,0.0,43.64
14,911.0,86.432,1.2079476,1.677705,0.0,0.0,15.19
15,922.3831312,70.86526349,1.847278084,2.529142074,0.0,0.0,12.11088934
16,917.89,-,2.1922012,2.9303914,0.0,0.0,48.99
17,916.9152554,77.01896058,2.274725297,2.906513109,0.0,0.0,21.03146177
18,918.8,67.082,4.8765292,5.5699806,0.0,0.0,18.9
19,922.04,68.576,9.5517338,12.5716028,0.0,0.0,7.54
20,919.9922622,62.96438312,12.68043574,15.45230581,0.0,0.0,18.80951786
21,917.23,67.676,2.460634,3.2883018,0.0,0.0,40.64
22,921.125626,68.81877189,2.576537767,3.487443587,0.0,0.0,11.74220123
23,920.35,47.57,6.263432,7.605596,0.0,0.0,54.55
24,921.7882289,71.65957221,1.946446506,2.719711659,0.0,0.0,11.19424977
25,918.03,50.666,2.5277422,4.0041226,0.0,0.0,76.88
26,914.49,49.892,4.8541598,6.7331894,0.0,0.0,92.1
27,914.9,78.62,1.8119214,2.7514362,0.0,220.0,47.89
28,915.84,40.118,10.5359874,12.9295132,0.0,0.0,86.43
29,916.31,45.428,8.3437862,10.0885994,0.0,0.0,86.15
30,919.35,91.112,2.5277422,3.3777794,0.0,0.0,25.62
31,916.28,55.544,2.5948504,3.3777794,0.0,0.0,79.92
32,918.7,76.226,4.0936002,4.7423128,0.0,0.0,19.17
33,918.37,63.914,14.4506324,17.0454828,0.0,0.0,19.68
34,923.6,59.882,4.2949248,5.1897008,0.0,0.0,22.47
35,917.3,85.082,2.013246,2.8632832,0.0,0.0,32.02
36,912.64,53.996,6.822667,8.6345884,0.0,0.0,89.77
37,914.67,64.166,2.125093,2.7290668,0.0,0.0,58.57
38,914.66,50.36,8.5227414,10.0214912,0.0,20.0,91.22
39,921.9699513,60.95534153,1.664442299,2.367181133,0.0,0.0,12.1096289
40,919.3,64.22,10.7596814,11.7886738,0.0,0.0,34.63
41,921.09,68.666,14.204569,17.0454828,0.0,0.0,17.58
